ticker;company_name;sector;industry;market_cap;current_price;forward_pe;trailing_pe;peg_ratio;revenue_growth;earnings_growth;return_on_equity;debt_to_equity;beta
WYNN;Wynn Resorts, Limited;Consumer Cyclical;Resorts & Casinos;10912203776.0;104.64;18.04253;33.32484;;15;-593;;;1.034
RMD;ResMed Inc.;Healthcare;Medical Instruments & Supplies;33351837696.0;228.49;18.766098;22.622772;;0.11;145;0.25676;13.411;928
SW;Smurfit Westrock Plc;Consumer Cyclical;Packaging & Containers;22301763584.0;42.54;13.335423;31.984962;;5;-0.33;0.03911;81.007;1.054
OTIS;Otis Worldwide Corporation;Industrials;Specialty Industrial Machinery;31518269440.0;80.875;16.904709;22.654062;;33;135;;;1.045
DHI;D.R. Horton, Inc.;Consumer Cyclical;Residential Construction;41545728000.0;142.72;11.743767;12.9745455;;-95;-222;0.13477;22.872;1.445
EXPE;Expedia Group, Inc.;Consumer Cyclical;Travel Services;27877908480.0;227.51;9.910038;23.191639;;114;-273;0.48672;254.692;1.332
VICI;VICI Properties Inc.;Real Estate;REIT - Diversified;30118764544.0;28.175;9.550847;10.795019;;38;-34;0.10217;62.679;728
SMCI;Super Micro Computer, Inc.;Technology;Computer Hardware;14627739648.0;24.36;8.095364;17.781023;;1.234;192;0.13193;75.28;1.629
EMR;Emerson Electric Co.;Industrials;Specialty Industrial Machinery;81730609152.0;145.35;20.335583;35.625004;;41;49;0.09646;69.283;1.278
IONQ;IonQ, Inc.;Technology;Computer Hardware;10559592448.0;28.72;-31.490881;;;4.285;;-0.24400999;787;2.803
CAT;Caterpillar Inc.;Industrials;Farm & Heavy Construction Machinery;370546212864.0;791.8;28.5225;42.09463;;0.18;-114;0.43526;206.67;1.519
GNRC;Generac Holdings Inc.;Industrials;Specialty Industrial Machinery;12259101696.0;208.9;19.979073;77.37037;;-116;;0.06283;52.479;1.786
KIM;Kimco Realty Corporation;Real Estate;REIT - Retail;15659641856.0;23.22;26.751152;28.317072;;32;-68;0.055370003;78.678;1.051
PCAR;PACCAR Inc;Industrials;Farm & Heavy Construction Machinery;67038392320.0;127.475;18.8287;28.264965;;-137;-359;0.12922;81.937;1.064
XYZ;Block, Inc.;Technology;Software - Infrastructure;37584080896.0;61.85;13.100954;29.452381;;36;-939;0.060100004;40.444;2.613
AEE;Ameren Corporation;Utilities;Utilities - Regulated Electric;31602098176.0;114.23;19.723188;21.351402;;-88;195;0.11337;147.125;533
AMD;Advanced Micro Devices, Inc.;Technology;Semiconductors;401619124224.0;246.33;22.804934;94.74231;;341;2.171;0.07082;6.359;1.963
MMM;3M Company;Industrials;Conglomerates;79652839424.0;151.23;16.09974;25.205;;0.02;-199;0.75501;276.638;1.158
ALL;The Allstate Corporation;Financial Services;Insurance - Property & Casualty;54832136192.0;211.36;8.30941;5.550972;;51;1.032;0.39518002;25.091;224
ASML;ASML Holding N.V.;Technology;Semiconductor Equipment & Materials;584898445312.0;1489.585;33.421116;51.66788;;49;72;0.50458;23.916;1.382
INTC;Intel Corporation;Technology;Semiconductors;316549595136.0;63.045;62.80446;;;-41;;0.00022;37.282;1.349
AXP;American Express Company;Financial Services;Credit Services;216297144320.0;315.02;15.635802;20.482445;;106;166;0.33992;190.921;1.133
FCX;Freeport-McMoRan Inc.;Basic Materials;Copper;98103386112.0;68.26;17.235895;44.907898;;-15;477;0.13946;34.103;1.473
CTSH;Cognizant Technology Solutions Corporation;Technology;Information Technology Services;28143116288.0;58.31;9.504606;12.787281;;49;221;0.15158;7.819;976
ETR;Entergy Corporation;Utilities;Utilities - Regulated Electric;53763870720.0;117.44;23.8074;30.035805;;79;-208;0.10774;181.79;565
PNC;The PNC Financial Services Group, Inc.;Financial Services;Banks - Regional;89751617536.0;221.985;10.712135;13.3806505;;96;291;0.12158;;956
IVZ;Invesco Ltd.;Financial Services;Asset Management;10556890112.0;23.76;7.986716;;;62;;-0.01219;17.161;1.634
EIX;Edison International;Utilities;Utilities - Regulated Electric;29202814976.0;75.87;11.642682;6.5688314;;308;4.463;0.24103001;215.738;767
MET;MetLife, Inc.;Financial Services;Insurance - Life;48949059584.0;74.29;6.792241;15.772824;;276;-342;0.12020001;225.974;733
AAPL;Apple Inc.;Technology;Consumer Electronics;3843949854720.0;261.5301;28.041162;33.147034;;157;183;1.5202099;102.63;1.109
TSN;Tyson Foods, Inc.;Consumer Defensive;Farm Products;22994276352.0;65.31;14.853781;116.62499;;51;-762;0.012560001;46.039;434
