ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,50340216832.0,49.2,16.147667,18.021978,,-0.011,-0.093,0.09936,174.488,0.505,0.8368409190141193,False
COP,ConocoPhillips,Energy,Oil & Gas E&P,149119270912.0,121.995,16.132168,19.211811,,-0.068,-0.39,0.12357,37.828,0.192,1.8523539734171042,False
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,58038927360.0,370.715,44.878193,107.14306,,0.439,0.814,0.19734,10.131,1.794,1.8442687175537409,False
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,62252609536.0,62.77,21.982756,24.14231,,0.003,-0.256,0.14552,35.255,0.898,2.534024827833664,True
EQT,EQT Corporation,Energy,Oil & Gas E&P,36445114368.0,58.38,12.5028105,17.637463,,0.269,0.546,0.09007,28.932,0.693,2.627555272735371,True
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,341536964608.0,146.16,20.032402,21.653334,,0.015,-0.054,0.31562,68.719,0.403,0.21649133950862698,False
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,166511706112.0,616.465,26.560778,34.28615,,-0.111,-0.085,0.19566,376.022,0.992,0.747532067945264,False
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,23805786112.0,169.94,34.016167,22.964865,,0.037,-0.409,0.088879995,80.256,0.763,0.08530925597030947,False
ASTS,"AST SpaceMobile, Inc.",Technology,Communication Equipment,36605865984.0,95.82,-634.2335,,,27.313,,-0.30117,93.612,2.8,8.606999969482422,True
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,77469958144.0,435.215,23.265778,31.837234,,0.13,0.576,0.62078,176.813,1.446,0.4440412476251516,False
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,373190983680.0,187.3544,17.78712,28.30127,,-0.082,-0.238,0.07231,24.323,0.587,1.247915717273694,False
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,10791056384.0,79.85,6.6236258,12.837621,,0.068,0.317,1.92901,1795.723,0.977,-0.06690842629120297,False
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,32918626304.0,220.93,10.498544,13.003531,,0.047,0.211,0.09797,,0.598,0.6850824793792822,False
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,63848448000.0,43.115,22.352583,28.365133,,0.001,-0.348,0.16016,79.333,1.319,-0.6570114640106386,False
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,88898068480.0,127.48,13.477326,17.20378,,0.078,0.305,0.12898,,1.053,2.018915121997053,True
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,15723681792.0,107.885,14.733397,15.324574,,0.071,0.11,0.39688,13.14,1.211,0.8888435076569798,False
PTC,PTC Inc.,Technology,Software - Application,16150152192.0,135.72,16.406403,19.988218,,0.214,1.044,0.23141001,35.942,1.058,-0.07015198293740477,False
EFX,Equifax Inc.,Industrials,Consulting Services,21417465856.0,177.54,17.14557,33.435028,,0.092,0.024,0.13757,110.637,1.559,-0.009281483961072867,False
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,125451182080.0,419.85,19.024303,28.678278,,0.09,0.32,0.13087,37.912,1.204,0.18540997936773818,False
