ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
FAST,Fastenal Company,Industrials,Industrial Distribution,56911167488.0,49.56,36.511517,45.467888,,0.111,0.093,0.33291,11.205,0.837,1.2313782643171223,False
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,25020669952.0,32.95,11.20512,14.709822,,0.234,0.206,0.12275,26.984,0.27,1.4657006485001545,False
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16836841472.0,63.26,14.084099,19.169697,,0.162,,0.16122,136.027,1.142,-0.24935491308474067,False
NSC,Norfolk Southern Corporation,Industrials,Railroads,66738315264.0,297.18,22.137896,23.289968,,-0.017,-0.114,0.19248,114.742,1.31,0.2084919917204362,False
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,18391287808.0,94.0,10.459367,26.478874,,0.109,-0.408,0.05599,61.971,0.612,-0.4047681547338674,False
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,11608245248.0,21.095,13.423993,23.702248,,-0.029,-0.051,0.061160002,4.244,0.358,-0.47141679933992187,False
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,55778422784.0,1177.43,24.233303,33.260735,,0.045,-0.02,0.46098998,69.114,1.092,2.08877888222362,True
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,12629328896.0,104.3525,18.531954,20.70486,,0.03,,0.09059,201.771,0.476,0.5919907858495312,False
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,119642398720.0,70.37,25.278217,31.698198,,0.152,0.303,0.23507999,124.331,1.256,2.8920644136006364,True
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,41395576832.0,77.15,8.731691,14.208104,,-0.072,-0.056,0.07399,24.408,0.601,0.8546271818945668,False
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,138978689024.0,175.49,14.022981,26.51284,,0.16,0.384,,,1.198,0.8239143269860241,False
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,76162260992.0,127.04,21.9697,31.523571,,0.12,-0.237,0.30233,27.698,1.16,-0.2922284224571292,False
T,AT&T Inc.,Communication Services,Telecom Services,186250346496.0,26.6001,10.456871,8.751645,,0.036,-0.056,0.18805,124.179,0.539,0.5846386115522495,False
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,11347575808.0,18.4,6.412468,18.96907,,0.258,0.201,0.26902,363.379,1.149,-0.06745888705308345,False
AON,Aon plc,Financial Services,Insurance Brokers,68097937408.0,316.83,14.792917,18.615158,,0.037,1.383,0.4694,168.318,0.825,0.388454027531296,False
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,44255682560.0,211.65,34.84243,43.729336,,-0.057,-0.105,0.2393,3.28,1.205,0.7295057269838721,False
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,18370338816.0,119.545,15.156375,13.327201,,0.228,0.371,0.23401,46.765,0.516,1.8899754192204914,False
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,6718228480.0,124.09,8.909109,18.438335,,0.128,0.099,0.10335,3.907,1.73,-0.7061646142959266,False
CRM,"Salesforce, Inc.",Technology,Software - Application,155409874944.0,165.859,11.136372,21.236748,,0.121,0.179,0.123959996,29.947,1.288,-0.2718491740412762,False
TT,Trane Technologies plc,Industrials,Building Products & Equipment,103347011584.0,466.075,27.717745,35.416035,,0.056,-0.005,0.36956,63.247,1.212,1.9237057546880623,False
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,447531319296.0,1008.25,44.87867,52.51302,,0.215,0.455,0.29650998,60.257,0.978,1.9342562617246761,False
