ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,31626995712,114.32,19.738728,21.368225,,-0.088,0.195,0.11337,147.125,0.533
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16733042688,62.87,13.997271,19.051516,,0.162,,0.16122,136.027,1.142
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,18071531520,154.79,14.969396,17.122787,,0.078,1.017,0.41793,117.175,1.015
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,31934904320,32.99,19.637724,20.748428,,-0.036,-0.1,0.17129,0.98,1.142
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,112786243584,67.46,11.612054,16.373787,,-0.005,-0.629,,,0.447
ALLE,Allegion plc,Industrials,Security & Protection Services,12602222592,146.29,15.410691,19.636242,,0.093,0.033,0.36084,104.0,1.03
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,139009392640,247.81,18.133907,20.912235,,0.109,-0.11,,,0.965
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,28214878208,230.26,10.029825,23.471966,,0.114,-0.273,0.48672,254.692,1.332
CI,The Cigna Group,Healthcare,Healthcare Plans,74381189120,278.45,8.324949,12.548446,,0.104,-0.093,0.1513,75.137,0.272
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,378282901504,52.71,10.570286,13.834645,,0.072,0.212,0.10217,,1.237
CPT,Camden Property Trust,Real Estate,REIT - Residential,10560621568,100.84,57.776707,28.485874,,0.022,2.876,0.08598,88.402,0.848
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,24022673408,45.64,19.012705,22.15534,,0.033,-0.022,0.45183998,230.228,0.747
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,10113728512,90.46,15.076139,43.91262,,0.059,0.125,0.03216,46.869,1.129
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3827128074240,316.37,23.557524,29.239372,,0.18,0.311,0.35705003,16.133,1.128
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,342705340416,146.66,20.100931,21.727407,,0.015,-0.054,0.31562,68.719,0.403
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,30880116736,294.82,22.73225,28.320847,,0.087,0.605,0.2336,30.958,0.369
V,Visa Inc.,Financial Services,Credit Services,594395332608,308.29,21.20391,28.974625,,0.146,0.174,0.53954,54.612,0.799
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,29444081664,218.32,18.962862,27.392725,,0.088,-0.801,0.15285,48.404,1.254
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,303313059840,122.68,12.523108,16.874828,,0.05,-0.193,0.36882,95.959,0.275
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,26372102144,119.75,15.009915,17.481752,,0.059,1.219,0.18992001,184.665,0.34
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,568821088256,1448.64,32.502453,50.247658,,0.049,0.072,0.50458,23.916,1.382
HSY,The Hershey Company,Consumer Defensive,Confectioners,42735362048,210.84,21.370493,48.580643,,0.07,-0.598,0.1889,123.763,0.175
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,12553666560,373.3,17.365011,21.234356,,0.064,0.095,,,1.185
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,36673998848,198.05,25.417648,,,0.249,,-0.86217004,100.449,0.965
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,79153176576,94.4,26.469269,31.784512,,0.078,0.139,,,0.598
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,98083831808,690.57,22.853472,23.755419,,0.096,0.152,0.26167,107.257,0.046
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,15410219008,276.25,22.306234,29.929579,,0.088,0.442,0.17473,66.986,1.012
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,78869544960,52.54,15.808398,22.357449,,0.05,-0.286,0.13904001,45.975,0.695
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,74549723136,137.15,19.988922,20.562218,,0.132,-0.126,0.12486,154.237,0.57
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,89954746368,377.0,16.877722,20.117395,,0.083,0.173,0.15869,140.994,1.286
IVZ,Invesco Ltd.,Financial Services,Asset Management,10472469504,23.57,7.9228487,,,0.062,,-0.01219,17.161,1.634
CRM,"Salesforce, Inc.",Technology,Software - Application,160086458368,170.85,11.463997,21.875801,,0.121,0.179,0.123959996,29.947,1.288
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,21447041024,306.57,10.337136,20.410786,,0.207,0.09,0.29071,243.348,0.851
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,19867809792,47.42,18.62705,225.80952,,,,0.0051700003,24.484,1.122
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,268181553152,903.72,13.8542595,17.637001,,0.152,0.173,0.13861,596.073,1.311
Q,"Qnity Electronics, Inc.",Technology,Semiconductor Equipment & Materials,27230500864,129.88,29.768509,39.35758,,0.081,-0.528,0.079840004,61.431,
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,41701416960,77.72,8.796204,14.313076,,-0.072,-0.056,0.07399,24.408,0.601
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,23355144192,385.14,21.395645,26.18219,,0.122,0.249,0.33846,98.972,1.479
